source	sample	population	population_name	superpopulation	superpopulation_name
1000g	HG00096	GBR	British	EUR	European Ancestry
1000g	HG00097	GBR	British	EUR	European Ancestry
1000g	HG00099	GBR	British	EUR	European Ancestry
1000g	HG00100	GBR	British	EUR	European Ancestry
1000g	HG00101	GBR	British	EUR	European Ancestry
1000g	HG00102	GBR	British	EUR	European Ancestry
1000g	HG00103	GBR	British	EUR	European Ancestry
1000g	HG00105	GBR	British	EUR	European Ancestry
1000g	HG00106	GBR	British	EUR	European Ancestry
1000g	HG00107	GBR	British	EUR	European Ancestry
1000g	HG00108	GBR	British	EUR	European Ancestry
1000g	HG00109	GBR	British	EUR	European Ancestry
1000g	HG00110	GBR	British	EUR	European Ancestry
1000g	HG00111	GBR	British	EUR	European Ancestry
1000g	HG00112	GBR	British	EUR	European Ancestry
1000g	HG00113	GBR	British	EUR	European Ancestry
1000g	HG00114	GBR	British	EUR	European Ancestry
1000g	HG00115	GBR	British	EUR	European Ancestry
1000g	HG00116	GBR	British	EUR	European Ancestry
1000g	HG00117	GBR	British	EUR	European Ancestry
1000g	HG00118	GBR	British	EUR	European Ancestry
1000g	HG00119	GBR	British	EUR	European Ancestry
1000g	HG00120	GBR	British	EUR	European Ancestry
1000g	HG00121	GBR	British	EUR	European Ancestry
1000g	HG00122	GBR	British	EUR	European Ancestry
1000g	HG00123	GBR	British	EUR	European Ancestry
1000g	HG00125	GBR	British	EUR	European Ancestry
1000g	HG00126	GBR	British	EUR	European Ancestry
1000g	HG00127	GBR	British	EUR	European Ancestry
1000g	HG00128	GBR	British	EUR	European Ancestry
1000g	HG00129	GBR	British	EUR	European Ancestry
1000g	HG00130	GBR	British	EUR	European Ancestry
1000g	HG00131	GBR	British	EUR	European Ancestry
1000g	HG00132	GBR	British	EUR	European Ancestry
1000g	HG00133	GBR	British	EUR	European Ancestry
1000g	HG00136	GBR	British	EUR	European Ancestry
1000g	HG00137	GBR	British	EUR	European Ancestry
1000g	HG00138	GBR	British	EUR	European Ancestry
